id	label	lay annotated to disease	lay not annotated to disease	clinical annotated to disease	clinical not annotated to disease	p-value	p-value-correct
MONDO:0019054	congenital limb malformation	1768	2989	1243	7559	9.023071028947085e-201	1.0027338834468896e-196
MONDO:0005497	bone development disease	2385	2372	2145	6657	6.399318653623497e-199	7.111562819771793e-195
MONDO:0015328	rare bone development disorder	2384	2373	2144	6658	8.237145431794315e-199	9.153939718353022e-195
MONDO:0018235	dysostosis with limb anomaly as a major feature	1649	3108	1099	7703	3.309359682702223e-198	3.6776914153869806e-194
MONDO:0018455	dysostosis of genetic origin with limb anomaly as a major feature	1649	3108	1099	7703	3.309359682702223e-198	3.6776914153869806e-194
MONDO:0015226	syndrome with limb malformations as a major feature	1748	3009	1231	7571	2.5061322315873233e-197	2.785064748962992e-193
MONDO:0018454	dysostosis of genetic origin	1802	2955	1313	7489	5.645001395984886e-195	6.273290051358004e-191
MONDO:0018234	dysostosis	1802	2955	1313	7489	5.645001395984886e-195	6.273290051358004e-191
MONDO:0018457	rare genetic bone development disorder	1802	2955	1313	7489	5.645001395984886e-195	6.273290051358004e-191
MONDO:0021004	brachydactyly (disease)	1143	3614	548	8254	2.8486940960403224e-187	3.1657537489296103e-183
MONDO:0019066	syndrome with brachydactyly	1143	3614	548	8254	2.8486940960403224e-187	3.1657537489296103e-183
MONDO:0015958	rare genetic bone disease	2384	2373	2211	6591	3.391686400718785e-186	3.769181097118786e-182
MONDO:0019684	rare bone disease	2557	2200	2498	6304	5.4498875292951804e-185	6.056460011305734e-181
MONDO:0005381	bone disease	2559	2198	2510	6292	1.8340896340810692e-183	2.0382238103542923e-179
MONDO:0018230	primary bone dysplasia	1970	2787	1631	7171	5.006091932789288e-177	5.563269964908736e-173
MONDO:0043005	genetic multiple congenital anomalies/dysmorphic syndrome	2067	2690	1793	7009	3.685012913057548e-173	4.095154850280853e-169
MONDO:0020013	rare odontologic disease	1229	3528	693	8109	1.7189591301885547e-171	1.9102792813785408e-167
MONDO:0021026	genetic epidermal appendage anomaly	1462	3295	990	7812	8.933126517572853e-167	9.927383498978711e-163
MONDO:0019277	epidermal appendage anomaly	1463	3294	994	7808	4.080286469260077e-166	4.534422353288724e-162
MONDO:0024481	skin appendage disease	1469	3288	1005	7797	2.6963132770389903e-165	2.99641294477343e-161
MONDO:0019042	multiple congenital anomalies/dysmorphic syndrome	2137	2620	1943	6859	7.250529884207627e-165	8.057513860319936e-161
MONDO:0019287	ectodermal dysplasia syndrome	1349	3408	865	7937	3.834863086683979e-163	4.261683348231906e-159
MONDO:0043008	genetic multiple congenital anomalies/dysmorphic syndrome without intellectual disability	1486	3271	1043	7759	1.902693262938877e-161	2.114463023103974e-157
MONDO:0015161	multiple congenital anomalies/dysmorphic syndrome without intellectual disability	1487	3270	1048	7754	1.3797379090514129e-160	1.5333027383288351e-156
