id	label	gc annotated to disease	gc not annotated to disease	non-gc annotated to disease	non-gc not annotated to disease	p-value	p-value-correct
MONDO:0016517	rare genetic vascular disease	176	39	2221	11123	1.5327002849570516e-95	1.7032898266727714e-91
MONDO:0000473	arterial disorder	142	73	1112	12232	5.673035322072668e-95	6.304444153419356e-91
MONDO:0019048	rare vascular disease	178	37	2329	11015	7.923345607153707e-95	8.805213973229915e-91
MONDO:0005385	vascular disease	178	37	2364	10980	9.108096962227564e-94	1.0121828154123492e-89
MONDO:0020031	rare tumor	175	40	2248	11096	2.186687918933533e-93	2.430066284310835e-89
MONDO:0005070	neoplasm (disease)	175	40	2267	11077	8.437843045699584e-93	9.376974976685948e-89
MONDO:0020036	rare nervous system tumor	154	61	1508	11836	1.3778247323801e-92	1.5311766250940052e-88
MONDO:0016645	rare neoplastic disease	190	25	2989	10355	1.3894447462762006e-92	1.5440899465367419e-88
MONDO:0021248	nervous system neoplasm	154	61	1509	11835	1.510711642917024e-92	1.6788538487736888e-88
MONDO:0023370	neoplastic disease or syndrome	190	25	3005	10339	3.574765027655567e-92	3.972636375233632e-88
MONDO:0045024	cell proliferation disorder	190	25	3006	10338	3.791611005921218e-92	4.213617310880249e-88
MONDO:0019748	rare cause of hypertension	135	80	997	12347	6.40232592537576e-92	7.114904800870082e-88
MONDO:0005044	hypertensive disorder	135	80	1001	12343	1.0358522367927021e-91	1.15114259074773e-87
MONDO:0015512	genetic hypertension	134	81	997	12347	1.1726646537427343e-90	1.3031822297043006e-86
MONDO:0019063	vascular anomaly	157	58	1659	11685	1.6277231722953965e-90	1.8088887613718742e-86
MONDO:0015356	hereditary neoplastic syndrome	179	36	2534	10810	4.024701797912259e-90	4.4726511080198934e-86
MONDO:0005586	head and neck neoplasm	146	69	1327	12017	4.165161360574236e-90	4.628743820006149e-86
MONDO:0017371	rare head and neck tumor	146	69	1327	12017	4.165161360574236e-90	4.628743820006149e-86
MONDO:0019041	rare genetic inherited tumor	167	48	2030	11314	4.191244558158872e-90	4.6577300774819544e-86
MONDO:0021058	neoplastic syndrome	179	36	2539	10805	5.566872217049981e-90	6.186465094807644e-86
MONDO:0021635	neurocristopathy	146	69	1330	12014	5.597991760377318e-90	6.221048243307313e-86
MONDO:0015124	rare adrenal disease	136	79	1062	12282	7.216612435768234e-90	8.01982139986924e-86
MONDO:0016229	genetic vascular anomaly	154	61	1584	11760	1.2708639364472535e-89	1.4123110925738327e-85
MONDO:0005217	familial cardiomyopathy	164	51	1961	11383	1.2486227525175075e-88	1.387594464872706e-84
MONDO:0020198	rare conjunctival disease	143	72	1278	12066	1.6015276303853088e-88	1.7797776556471936e-84
MONDO:0002932	conjunctival disease	143	72	1278	12066	1.6015276303853088e-88	1.7797776556471936e-84
MONDO:0000591	intrinsic cardiomyopathy	164	51	1984	11360	7.073912715449921e-88	7.861239200679497e-84
MONDO:0004994	cardiomyopathy	164	51	1984	11360	7.073912715449921e-88	7.861239200679497e-84
MONDO:0020015	rare circulatory system disease	193	22	3387	9957	4.886162589863409e-87	5.429992486115207e-83
MONDO:0043218	neurovascular disease	162	53	1946	11398	1.1417986002353739e-86	1.2688807844415709e-82
MONDO:0016756	inherited nervous system cancer-predisposing syndrome	128	87	931	12413	1.2665595254456847e-86	1.4075276006277895e-82
MONDO:0020484	rare familial disorder with hypertrophic cardiomyopathy	147	68	1443	11901	1.5007457356800888e-86	1.6677787360612828e-82
MONDO:0004995	cardiovascular disease	193	22	3414	9930	2.043959062445975e-86	2.271451706096212e-82
MONDO:0024757	cardiovascular neoplasm	129	86	967	12377	5.549743729003241e-86	6.167430206041302e-82
MONDO:0024573	familial hypertrophic cardiomyopathy	147	68	1464	11880	1.0071589409311315e-85	1.1192557310567665e-81
MONDO:0021220	eye neoplasm	135	80	1126	12218	1.4358903848614845e-85	1.5957049846965678e-81
MONDO:0015121	rare eye tumor	135	80	1126	12218	1.4358903848614845e-85	1.5957049846965678e-81
MONDO:0015330	overgrowth/obesity syndrome	158	57	1841	11503	2.611129934767434e-85	2.9017486965070494e-81
MONDO:0005045	hypertrophic cardiomyopathy	147	68	1476	11868	2.9521077978270117e-85	3.280677395725158e-81
MONDO:0002118	urinary system disease	191	24	3369	9975	9.933224630711978e-85	1.103879253211022e-80
MONDO:0015615	rare genetic gastroenterological disease	182	33	2905	10439	4.091323806231592e-84	4.546688145865169e-80
MONDO:0015106	rare urogenital disease	179	36	2758	10586	4.474148664260693e-84	4.972121410592908e-80
MONDO:0015966	hereditary eye tumor	133	82	1106	12238	4.486702028651012e-84	4.98607196443987e-80
MONDO:0015948	rare genetic skin vascular disorder	138	77	1249	12095	1.0324017838951673e-83	1.1473081024426995e-79
MONDO:0000426	autosomal dominant disease	190	25	3357	9987	1.1381423656042083e-83	1.2648176108959567e-79
MONDO:0005240	kidney disease	190	25	3360	9984	1.3324491615336386e-83	1.4807507532123326e-79
MONDO:0019750	rare renal disease	190	25	3360	9984	1.3324491615336386e-83	1.4807507532123326e-79
MONDO:0021145	disease of genitourinary system	179	36	2780	10564	1.6477019976859663e-83	1.8310912300284143e-79
MONDO:0004335	digestive system disease	182	33	2940	10404	3.036135261994247e-83	3.3740571166542066e-79
MONDO:0015511	rare genetic urogenital disease	178	37	2742	10602	3.0395605164769746e-83	3.377863601960862e-79
MONDO:0020063	malformation syndrome with hamartosis	139	76	1292	12052	4.324716837822527e-83	4.806057821872174e-79
MONDO:0019996	rare cardiac disease	176	39	2664	10680	8.349466377634782e-83	9.278761985465533e-79
MONDO:0005267	heart disease	176	39	2668	10676	1.0626947504925963e-82	1.1809726762224222e-78
MONDO:0020030	rare genetic renal disease	188	27	3289	10055	1.3252461682212765e-82	1.4727460667443046e-78
MONDO:0020222	rare disease with glaucoma as a major feature	147	68	1550	11794	1.8491118367377564e-82	2.0549179841666685e-78
MONDO:0015618	genetic pancreatic disease	141	74	1368	11976	2.3149527679584847e-82	2.572607011032264e-78
MONDO:0024296	vascular neoplasm	121	94	850	12494	2.3166256898077794e-82	2.574466129083385e-78
MONDO:0003150	male reproductive system disease	151	64	1687	11657	2.945605735232693e-82	3.2734516535640915e-78
MONDO:0015112	rare pancreatic disease	141	74	1372	11972	3.3423016730440294e-82	3.7142998492538297e-78
MONDO:0020029	rare genetic cardiac disease	175	40	2641	10703	3.48118832715602e-82	3.868644587968485e-78
MONDO:0002356	pancreas disease	141	74	1380	11964	6.944321676087508e-82	7.717224678636048e-78
MONDO:0005570	hematological system disease	165	50	2220	11124	8.197065275323834e-82	9.109398640467377e-78
MONDO:0018729	rare genetic vascular tumor	120	95	838	12506	8.507308600248652e-82	9.454172047456327e-78
MONDO:0020006	rare hematologic disease	161	54	2067	11277	1.1986128821073445e-81	1.3320184958858918e-77
MONDO:0016228	rare vascular tumor	120	95	844	12500	1.8097764726132072e-81	2.011204594015057e-77
MONDO:0015945	polymalformative genetic syndrome with increased risk of developing cancer	162	53	2113	11231	1.962026478128097e-81	2.180400025143754e-77
MONDO:0020024	rare infertility	152	63	1748	11596	2.469654507270019e-81	2.7445270539291725e-77
MONDO:0017143	genetic infertility	152	63	1751	11593	3.119969255928676e-81	3.4672218341135374e-77
MONDO:0005047	infertility disorder	152	63	1751	11593	3.119969255928676e-81	3.4672218341135374e-77
MONDO:0005039	reproductive system disease	169	46	2409	10935	3.34179908888541e-81	3.713741327478356e-77
MONDO:0019040	chromosomal anomaly	162	53	2126	11218	4.809002155807335e-81	5.3442440957486915e-77
MONDO:0019997	rare gastroenterologic disease	166	49	2290	11054	5.589020735078752e-81	6.211078742893017e-77
MONDO:0005626	epithelial neoplasm	109	106	630	12714	1.1694723717483236e-80	1.299634646723912e-76
MONDO:0002082	endocrine gland neoplasm	113	102	713	12631	2.1154129657885923e-80	2.3508584288808625e-76
MONDO:0020025	rare male infertility	149	66	1674	11670	2.2633361247194093e-80	2.5152454354006797e-76
MONDO:0018404	rare genetic male infertility	149	66	1674	11670	2.2633361247194093e-80	2.5152454354006797e-76
MONDO:0005372	male infertility	149	66	1675	11669	2.4509234922443446e-80	2.7237112769311402e-76
MONDO:0044986	lymphoid system disease	138	77	1338	12006	4.874465246748764e-80	5.416993228711901e-76
MONDO:0005833	lymphatic system disease	138	77	1338	12006	4.874465246748764e-80	5.416993228711901e-76
MONDO:0019289	hyperpigmentation of the skin	127	88	1039	12305	4.99567740762988e-80	5.551696303099085e-76
MONDO:0015513	rare genetic endocrine disease	199	16	4108	9236	5.183428998121814e-80	5.760344645612772e-76
MONDO:0019189	inborn disorder of amino acid and other organic acid metabolism	155	60	1895	11449	5.358771206090329e-80	5.955202441328183e-76
MONDO:0019110	rare central nervous system and retinal vascular disease	139	76	1374	11970	8.817658274921034e-80	9.799063640919744e-76
MONDO:0004736	inherited amino acid metabolic disorder	140	75	1405	11939	9.711343937713328e-80	1.0792216517980821e-75
MONDO:0044980	disease of signal transduction	120	95	877	12467	1.0475332983199045e-79	1.1641237544229098e-75
MONDO:0021581	connective tissue neoplasm	131	84	1151	12193	1.1547833862431759e-79	1.2833107771320414e-75
MONDO:0020005	rare endocrine disease	199	16	4132	9212	1.5427499600669542e-79	1.7144580306224062e-75
MONDO:0015946	rare genetic epidermal disorder	158	57	2028	11316	2.4796405870115684e-79	2.755624584345956e-75
MONDO:0004992	cancer	118	97	839	12505	2.5636583141453833e-79	2.8489934845097647e-75
MONDO:0000651	thoracic disease	187	28	3382	9962	3.1884703210074e-79	3.5433470677355232e-75
MONDO:0015936	rare tumor of endocrine glands	112	103	713	12631	3.581404214413061e-79	3.980014503477235e-75
MONDO:0005151	endocrine system disease	199	16	4152	9192	3.8094858735407366e-79	4.2334816512658205e-75
MONDO:0019268	rare epidermal disease	150	65	1745	11599	4.0899842105240253e-79	4.54519945315535e-75
MONDO:0020280	metabolic disease with cataract	132	83	1191	12153	4.1948112920597355e-79	4.661693788865984e-75
MONDO:0037871	amino acid metabolism disease	140	75	1423	11921	4.7478195207435173e-79	5.27625183340227e-75
MONDO:0015967	monogenic diabetes	133	82	1230	12114	1.269546211400217e-78	1.410846704729061e-74
MONDO:0007179	autoimmune disease	125	90	1019	12325	1.3209822625656393e-78	1.4680075883891949e-74
MONDO:0003939	muscle tissue disease	174	41	2735	10609	1.4424868126145882e-78	1.6030355948585918e-74
MONDO:0005218	muscular disease	174	41	2735	10609	1.4424868126145882e-78	1.6030355948585918e-74
MONDO:0015122	rare diabetes mellitus	133	82	1234	12110	1.8623003877792924e-78	2.0695744209391276e-74
MONDO:0005015	diabetes mellitus (disease)	133	82	1234	12110	1.8623003877792924e-78	2.0695744209391276e-74
MONDO:0015953	genetic central nervous system and retinal vascular disease	137	78	1351	11993	2.295049116569541e-78	2.550488083243731e-74
MONDO:0020227	systemic disease with cataract	147	68	1666	11678	2.430576189526368e-78	2.701099319420653e-74
MONDO:0015549	rare genetic hematologic disease	160	55	2151	11193	5.531900366583115e-78	6.147600877383815e-74
MONDO:0021211	brain neoplasm	120	95	912	12432	6.583070653044592e-78	7.315766416728456e-74
MONDO:0001933	endocrine pancreas disease	134	81	1279	12065	9.05006671986164e-78	1.0057339145782241e-73
MONDO:0006130	central nervous system neoplasm	120	95	915	12429	9.318073711576445e-78	1.0355175315674903e-73
MONDO:0020049	autosomal anomaly	154	61	1930	11414	9.566561636266947e-78	1.0631319946383458e-73
MONDO:0020278	metabolic disease associated with ocular features	149	66	1756	11588	1.3226881833931592e-77	1.4699033782048177e-73
MONDO:0016565	syndromic obesity	136	79	1345	11999	1.8890196151520282e-77	2.099267498318449e-73
MONDO:0044979	disease by cell type	157	58	2053	11291	1.9774212742028948e-77	2.197508262021677e-73
MONDO:0000605	hypersensitivity reaction disease	125	90	1046	12298	2.3755568740859207e-77	2.6399563541716836e-73
MONDO:0015938	systemic disease	165	50	2379	10965	2.4554124160830076e-77	2.7286998179930462e-73
MONDO:0018405	rare male infertility due to hypothalamic-pituitary-gonadal axis disorder of genetic origin	140	75	1473	11871	3.505939482534092e-77	3.896150546940136e-73
MONDO:0018386	rare male infertility due to hypothalamic-pituitary-gonadal axis disorder	140	75	1473	11871	3.505939482534092e-77	3.896150546940136e-73
MONDO:0015950	inherited skin tumor	140	75	1479	11865	5.8154554446216e-77	6.462715635607985e-73
MONDO:0002531	skin neoplasm	140	75	1479	11865	5.8154554446216e-77	6.462715635607985e-73
MONDO:0020054	partial autosomal monosomy	147	68	1713	11631	9.34338386656472e-77	1.0383302490913373e-72
MONDO:0019297	lymphedema	128	87	1139	12205	1.0765057168052254e-76	1.196320803085647e-72
MONDO:0019293	skin vascular disease	121	94	961	12383	1.1352841364801544e-76	1.2616412608703955e-72
MONDO:0020639	monosomy	147	68	1716	11628	1.1752176328812865e-76	1.3060193554209736e-72
MONDO:0015153	autosomal monosomy	147	68	1716	11628	1.1752176328812865e-76	1.3060193554209736e-72
MONDO:0015980	rare genetic gynecological and obstetrical diseases	155	60	2006	11338	1.4593290488726037e-76	1.6217523720121244e-72
MONDO:0016230	simple vascular malformation	132	83	1253	12091	1.5922447122058505e-76	1.7694615486743616e-72
MONDO:0017891	inherited renal cancer-predisposing syndrome	106	109	637	12707	1.7109770028255153e-76	1.901408743239995e-72
MONDO:0015931	rare urogenital tumor	109	106	697	12647	1.7956544720966626e-76	1.995510814841021e-72
MONDO:0019520	syndromic lymphedema	127	88	1118	12226	1.882872783912404e-76	2.0924365247618545e-72
MONDO:0044965	abdominal and pelvic region disorder	197	18	4150	9194	2.021588689679286e-76	2.2465915108405905e-72
MONDO:0019288	skin pigmentation disease	138	77	1435	11909	2.612740212773543e-76	2.9035381984552383e-72
MONDO:0021154	dermis disease	149	66	1796	11548	2.646256948310948e-76	2.9407853466579565e-72
MONDO:0019291	rare genetic dermis disorder	149	66	1796	11548	2.646256948310948e-76	2.9407853466579565e-72
MONDO:0006600	pigmentation disease	138	77	1436	11908	2.8455860221511613e-76	3.1622997464165857e-72
MONDO:0003382	eyelid disease	168	47	2550	10794	2.900110640850219e-76	3.222892955176848e-72
MONDO:0020151	rare palpebral disease	168	47	2550	10794	2.900110640850219e-76	3.222892955176848e-72
MONDO:0019175	primary lymphedema	126	89	1100	12244	4.368212989954769e-76	4.854395095736735e-72
MONDO:0002908	glucose metabolism disease	134	81	1323	12021	5.0401777270263755e-76	5.601149508044411e-72
MONDO:0000688	inherited organic acidemia	147	68	1736	11608	5.3653964846716805e-76	5.962565113415639e-72
MONDO:0009332	congenital hematological disorder	157	58	2103	11241	5.845167894210894e-76	6.495735080836566e-72
MONDO:0019937	rare gynecologic or obstetric disease	155	60	2028	11316	6.62690533498008e-76	7.364479898763363e-72
MONDO:0016233	rare lymphatic system malformation	126	89	1106	12238	8.004576538148517e-76	8.895485906844447e-72
MONDO:0020204	conjunctival tumor	106	109	650	12694	1.1112303862931132e-75	1.2349103282875368e-71
MONDO:0006170	conjunctival disorder	106	109	650	12694	1.1112303862931132e-75	1.2349103282875368e-71
MONDO:0002263	female reproductive system disease	155	60	2036	11308	1.143987884213633e-75	1.2713137357266104e-71
MONDO:0025370	urogenital neoplasm	109	106	713	12631	1.5671945758428543e-75	1.741623332134164e-71
MONDO:0045022	disorder of organic acid metabolism	147	68	1754	11590	2.07196880726052e-75	2.3025789355086158e-71
MONDO:0017133	genetic systemic or rheumatologic disease	165	50	2452	10892	2.1935511466137578e-75	2.437693389231869e-71
MONDO:0000761	syndrome caused by partial chromosomal deletion	142	73	1588	11756	2.370080154137787e-75	2.6338700752933226e-71
MONDO:0021066	urinary system neoplasm	101	114	561	12783	2.5733508332153246e-75	2.8597647809521902e-71
MONDO:0020003	rare surgical cardiac disease	144	71	1656	11688	2.79303905061714e-75	3.103904296950828e-71
MONDO:0020199	conjunctival vascular anomaly	122	93	1016	12328	3.030797235792486e-75	3.3681249681361894e-71
MONDO:0001174	conjunctival vascular disease	122	93	1016	12328	3.030797235792486e-75	3.3681249681361894e-71
MONDO:0000577	congenital anemia	138	77	1464	11880	3.030827448343666e-75	3.3681585433443163e-71
MONDO:0003916	overnutrition	137	78	1435	11909	3.527707468658003e-75	3.920341309919639e-71
MONDO:0019182	genetic obesity	136	79	1405	11939	3.6603311002343997e-75	4.0677259516904886e-71
MONDO:0002280	anemia (disease)	138	77	1467	11877	3.8942818011912127e-75	4.327715365663795e-71
MONDO:0019313	hereditary lymphedema	117	98	897	12447	3.970531805963641e-75	4.412451995967395e-71
MONDO:0020202	conjunctival lymphangiectasia	117	98	897	12447	3.970531805963641e-75	4.412451995967395e-71
MONDO:0015329	malformation syndrome with short stature	145	70	1696	11648	4.555089070300406e-75	5.062070483824841e-71
MONDO:0019043	rare genetic skin disease	192	23	3885	9459	4.957482425921372e-75	5.509250219926421e-71
MONDO:0011122	obesity (disease)	136	79	1410	11934	5.617531943766818e-75	6.242763249108065e-71
MONDO:0002921	congenital structural myopathy	112	103	789	12555	7.526950845261249e-75	8.364700474338826e-71
MONDO:0024255	genetic skin disease	192	23	3897	9447	8.583820233583874e-75	9.53919942558176e-71
MONDO:0015621	rare abdominal surgical disease	164	51	2435	10909	1.06633952102782e-74	1.1850231097182163e-70
